head,relation,tail,template_id,template
weilheim (tübingen),work location,Benedict Welte,13,[X] geographically has [REL] [Y].
nelson w. aldrich,work location,wash. d.c.,12,[X] is [REL] based in [Y].
wash. d.c.,work location,nelson w. aldrich,13,[X] geographically has [REL] [Y].
Carlos Antonio Romero Deschamps,work location,Tourism in Mexico City,12,[X] is [REL] based in [Y].
Tourism in Mexico City,work location,Carlos Antonio Romero Deschamps,13,[X] geographically has [REL] [Y].
Jack Burnett Murta,work location,Otawwa,12,[X] is [REL] based in [Y].
Otawwa,work location,Jack Burnett Murta,13,[X] geographically has [REL] [Y].
"John Reed, Sr.",work location,wash. d.c.,12,[X] is [REL] based in [Y].
wash. d.c.,work location,"John Reed, Sr.",13,[X] geographically has [REL] [Y].
Leonard Boswell,work location,wash. d.c.,12,[X] is [REL] based in [Y].
wash. d.c.,work location,Leonard Boswell,13,[X] geographically has [REL] [Y].
marshall l. shepard,work location,West Phila.,12,[X] is [REL] based in [Y].
West Phila.,work location,marshall l. shepard,13,[X] geographically has [REL] [Y].
"John Ward, Earl of Dudley",work location,united kingdom/london,12,[X] is [REL] based in [Y].
united kingdom/london,work location,"John Ward, Earl of Dudley",13,[X] geographically has [REL] [Y].
Tomi Mäkelä,work location,Finnish capital,12,[X] is [REL] based in [Y].
Finnish capital,work location,Tomi Mäkelä,13,[X] geographically has [REL] [Y].
Bernd Ruf,work location,The Hanseatic City of Lübeck,12,[X] is [REL] based in [Y].
The Hanseatic City of Lübeck,work location,Bernd Ruf,13,[X] geographically has [REL] [Y].
donald w. norcross,work location,wash. d.c.,12,[X] is [REL] based in [Y].
wash. d.c.,work location,donald w. norcross,13,[X] geographically has [REL] [Y].
"dennis lloyd, baron lloyd of hampstead",work location,united kingdom/london,12,[X] is [REL] based in [Y].
united kingdom/london,work location,"dennis lloyd, baron lloyd of hampstead",13,[X] geographically has [REL] [Y].
Daniel Kellogg (judge),work location,"montpelier, vermont",12,[X] is [REL] based in [Y].
"montpelier, vermont",work location,Daniel Kellogg (judge),13,[X] geographically has [REL] [Y].
gary c. peters,work location,wash. d.c.,12,[X] is [REL] based in [Y].
wash. d.c.,work location,gary c. peters,13,[X] geographically has [REL] [Y].
smedley crooke,work location,united kingdom/london,12,[X] is [REL] based in [Y].
united kingdom/london,work location,smedley crooke,13,[X] geographically has [REL] [Y].
solange gemayel,member of political party,kataeb reformist movement,1,[X] is [REL] of [Y].
kataeb reformist movement,member of political party,solange gemayel,0,[X] has [REL] as [Y].
Edward Bader,member of political party,republican party us,1,[X] is [REL] of [Y].
republican party us,member of political party,Edward Bader,0,[X] has [REL] as [Y].
bernard cazeau,member of political party,french socialist,1,[X] is [REL] of [Y].
french socialist,member of political party,bernard cazeau,0,[X] has [REL] as [Y].
Frank F. Fasi,member of political party,republican party us,1,[X] is [REL] of [Y].
republican party us,member of political party,Frank F. Fasi,0,[X] has [REL] as [Y].
ray burke (irish politician),member of political party,republican party (ireland),1,[X] is [REL] of [Y].
republican party (ireland),member of political party,ray burke (irish politician),0,[X] has [REL] as [Y].
franklin mitchell (wisconsin politician),member of political party,republican party us,1,[X] is [REL] of [Y].
republican party us,member of political party,franklin mitchell (wisconsin politician),0,[X] has [REL] as [Y].
Thomas Gallagher (mayor),member of political party,democratic party united states,1,[X] is [REL] of [Y].
democratic party united states,member of political party,Thomas Gallagher (mayor),0,[X] has [REL] as [Y].
gwendolynne sophia moore,member of political party,democratic party united states,1,[X] is [REL] of [Y].
democratic party united states,member of political party,gwendolynne sophia moore,0,[X] has [REL] as [Y].
sa'd al-din rafic hariri,member of political party,Future Youth,1,[X] is [REL] of [Y].
Future Youth,member of political party,sa'd al-din rafic hariri,0,[X] has [REL] as [Y].
Jasper Ewing Brady,member of political party,united states of america whig party,1,[X] is [REL] of [Y].
united states of america whig party,member of political party,Jasper Ewing Brady,0,[X] has [REL] as [Y].
Matt DeCourcey,member of political party,Federal Liberal,1,[X] is [REL] of [Y].
Federal Liberal,member of political party,Matt DeCourcey,0,[X] has [REL] as [Y].
bill yellowtail,member of political party,democratic party united states,1,[X] is [REL] of [Y].
democratic party united states,member of political party,bill yellowtail,0,[X] has [REL] as [Y].
Prime Minister Heath,member of political party,new tories,1,[X] is [REL] of [Y].
new tories,member of political party,Prime Minister Heath,0,[X] has [REL] as [Y].
Marv Hanson,member of political party,democratic party united states,1,[X] is [REL] of [Y].
democratic party united states,member of political party,Marv Hanson,0,[X] has [REL] as [Y].
j. david weeks,member of political party,democratic party united states,1,[X] is [REL] of [Y].
democratic party united states,member of political party,j. david weeks,0,[X] has [REL] as [Y].
sidney smith (politician),member of political party,pc party of canada,1,[X] is [REL] of [Y].
pc party of canada,member of political party,sidney smith (politician),0,[X] has [REL] as [Y].
otto ii of wittelsbach,spouse,Agnes of Palatinate,0,[X] has [REL] as [Y].
Agnes of Palatinate,spouse,otto ii of wittelsbach,1,[X] is [REL] of [Y].
King Sigismund,spouse,Mary I,0,[X] has [REL] as [Y].
Mary I,spouse,King Sigismund,1,[X] is [REL] of [Y].
Karen Christentze Dinesen,spouse,Bror von Blixen-Finecke,0,[X] has [REL] as [Y].
Bror von Blixen-Finecke,spouse,Karen Christentze Dinesen,1,[X] is [REL] of [Y].
merete skavlan,spouse,Per Sunderland,0,[X] has [REL] as [Y].
Per Sunderland,spouse,merete skavlan,1,[X] is [REL] of [Y].
Giovanni il Popolano,spouse,Caterina Sforza,0,[X] has [REL] as [Y].
Caterina Sforza,spouse,Giovanni il Popolano,1,[X] is [REL] of [Y].
Bruce D. Perry,spouse,Arlis Perry,0,[X] has [REL] as [Y].
Arlis Perry,spouse,Bruce D. Perry,1,[X] is [REL] of [Y].
zygmunt chmielewski,spouse,Stanisława Perzanowska,0,[X] has [REL] as [Y].
Stanisława Perzanowska,spouse,zygmunt chmielewski,1,[X] is [REL] of [Y].
George Hearn,spouse,Dixie Carter (actress),0,[X] has [REL] as [Y].
Dixie Carter (actress),spouse,George Hearn,1,[X] is [REL] of [Y].
jacqueline novogratz,spouse,Chris Anderson (entrepreneur),0,[X] has [REL] as [Y].
Chris Anderson (entrepreneur),spouse,jacqueline novogratz,1,[X] is [REL] of [Y].
Blanche Bates,spouse,George kreel,0,[X] has [REL] as [Y].
George kreel,spouse,Blanche Bates,1,[X] is [REL] of [Y].
su-ko-la-ti,spouse,Myrto,0,[X] has [REL] as [Y].
Myrto,spouse,su-ko-la-ti,1,[X] is [REL] of [Y].
"Charles, Duke of Albany",spouse,princess victoria adelaide of schleswig-holstein,0,[X] has [REL] as [Y].
princess victoria adelaide of schleswig-holstein,spouse,"Charles, Duke of Albany",1,[X] is [REL] of [Y].
gyorgy gat,spouse,nora gorbe,0,[X] has [REL] as [Y].
nora gorbe,spouse,gyorgy gat,1,[X] is [REL] of [Y].
hermann oelrichs,spouse,Tessie Alice Fair Oelrichs,0,[X] has [REL] as [Y].
Tessie Alice Fair Oelrichs,spouse,hermann oelrichs,1,[X] is [REL] of [Y].
Suzy Burton,spouse,James Simon Wallis Hunt,0,[X] has [REL] as [Y].
James Simon Wallis Hunt,spouse,Suzy Burton,1,[X] is [REL] of [Y].
Meyrav Wurmser,spouse,david wurmser,0,[X] has [REL] as [Y].
david wurmser,spouse,Meyrav Wurmser,1,[X] is [REL] of [Y].
Arrondissement of La Trinité,contains administrative territorial entity,canton of le lorrain,13,[X] geographically has [REL] [Y].
canton of le lorrain,contains administrative territorial entity,Arrondissement of La Trinité,12,[X] is [REL] based in [Y].
Canton of Gray,contains administrative territorial entity,champtonnay,13,[X] geographically has [REL] [Y].
champtonnay,contains administrative territorial entity,Canton of Gray,12,[X] is [REL] based in [Y].
tutong,contains administrative territorial entity,"Pekan Tutong, Mukim",13,[X] geographically has [REL] [Y].
"Pekan Tutong, Mukim",contains administrative territorial entity,tutong,12,[X] is [REL] based in [Y].
department of the doubs,contains administrative territorial entity,cubrial,13,[X] geographically has [REL] [Y].
cubrial,contains administrative territorial entity,department of the doubs,12,[X] is [REL] based in [Y].
arrondissement of arras,contains administrative territorial entity,Canton of Arras-Nord,13,[X] geographically has [REL] [Y].
Canton of Arras-Nord,contains administrative territorial entity,arrondissement of arras,12,[X] is [REL] based in [Y].
Melnik District,contains administrative territorial entity,DobreN,13,[X] geographically has [REL] [Y].
DobreN,contains administrative territorial entity,Melnik District,12,[X] is [REL] based in [Y].
canton of charlieu,contains administrative territorial entity,maizilly,13,[X] geographically has [REL] [Y].
maizilly,contains administrative territorial entity,canton of charlieu,12,[X] is [REL] based in [Y].
dordogne (departement),contains administrative territorial entity,Leguillac-de-Cercles,13,[X] geographically has [REL] [Y].
Leguillac-de-Cercles,contains administrative territorial entity,dordogne (departement),12,[X] is [REL] based in [Y].
p:ny,contains administrative territorial entity,"madison county, ny",13,[X] geographically has [REL] [Y].
"madison county, ny",contains administrative territorial entity,p:ny,12,[X] is [REL] based in [Y].
letland,contains administrative territorial entity,Talsu novads,13,[X] geographically has [REL] [Y].
Talsu novads,contains administrative territorial entity,letland,12,[X] is [REL] based in [Y].
"Grafton County, New Hampshire",contains administrative territorial entity,lyme (nh),13,[X] geographically has [REL] [Y].
lyme (nh),contains administrative territorial entity,"Grafton County, New Hampshire",12,[X] is [REL] based in [Y].
piaui province,contains administrative territorial entity,barras (piauí),13,[X] geographically has [REL] [Y].
barras (piauí),contains administrative territorial entity,piaui province,12,[X] is [REL] based in [Y].
canton of conches-en-ouche,contains administrative territorial entity,Gaudreville-la-Riviere,13,[X] geographically has [REL] [Y].
Gaudreville-la-Riviere,contains administrative territorial entity,canton of conches-en-ouche,12,[X] is [REL] based in [Y].
"Fukushima, Japan",contains administrative territorial entity,"Kawauchi, Fukushima",13,[X] geographically has [REL] [Y].
"Kawauchi, Fukushima",contains administrative territorial entity,"Fukushima, Japan",12,[X] is [REL] based in [Y].
Ceska Lipa District,contains administrative territorial entity,nový oldřichov,13,[X] geographically has [REL] [Y].
nový oldřichov,contains administrative territorial entity,Ceska Lipa District,12,[X] is [REL] based in [Y].
sierra de francia,contains administrative territorial entity,Las Casas del Conde,13,[X] geographically has [REL] [Y].
Las Casas del Conde,contains administrative territorial entity,sierra de francia,12,[X] is [REL] based in [Y].
Namaland,named after,namaquas,14,[X] is [REL] by [Y].
namaquas,named after,Namaland,15,[X] [REL] [Y].
the planck temperature,named after,religious views of max planck,14,[X] is [REL] by [Y].
religious views of max planck,named after,the planck temperature,15,[X] [REL] [Y].
Knight Grand Cross of the Most Distinguished Order Of Saint,named after,St Michael Archangel,14,[X] is [REL] by [Y].
St Michael Archangel,named after,Knight Grand Cross of the Most Distinguished Order Of Saint,15,[X] [REL] [Y].
Moyen-Ogooue,named after,Ogoue,14,[X] is [REL] by [Y].
Ogoue,named after,Moyen-Ogooue,15,[X] [REL] [Y].
Taro Okamoto Award,named after,okamoto taro,14,[X] is [REL] by [Y].
okamoto taro,named after,Taro Okamoto Award,15,[X] [REL] [Y].
al tahrir (newspaper),named after,at-tahrir square,14,[X] is [REL] by [Y].
at-tahrir square,named after,al tahrir (newspaper),15,[X] [REL] [Y].
caswell county historical association,named after,"Caswell, Richard",14,[X] is [REL] by [Y].
"Caswell, Richard",named after,caswell county historical association,15,[X] [REL] [Y].
"henderson, texas",named after,James Henderson,14,[X] is [REL] by [Y].
James Henderson,named after,"henderson, texas",15,[X] [REL] [Y].
Pyongyang Touch,named after,phenian,14,[X] is [REL] by [Y].
phenian,named after,Pyongyang Touch,15,[X] [REL] [Y].
kapteyn (crater),named after,jacobus cornelius kapteyn,14,[X] is [REL] by [Y].
jacobus cornelius kapteyn,named after,kapteyn (crater),15,[X] [REL] [Y].
Johnson algorithm,named after,Donald B. Johnson,14,[X] is [REL] by [Y].
Donald B. Johnson,named after,Johnson algorithm,15,[X] [REL] [Y].
Saint-Remy-sur-Creuse,named after,River Creuse,14,[X] is [REL] by [Y].
River Creuse,named after,Saint-Remy-sur-Creuse,15,[X] [REL] [Y].
deal town fc,named after,"deal, england",14,[X] is [REL] by [Y].
"deal, england",named after,deal town fc,15,[X] [REL] [Y].
hawthorn football club,named after,"glenferrie, victoria",14,[X] is [REL] by [Y].
"glenferrie, victoria",named after,hawthorn football club,15,[X] [REL] [Y].
The Googleplex,named after,10^googol,14,[X] is [REL] by [Y].
10^googol,named after,The Googleplex,15,[X] [REL] [Y].
oxford newdigate prize,named after,Sir Roger Newdigate,14,[X] is [REL] by [Y].
Sir Roger Newdigate,named after,oxford newdigate prize,15,[X] [REL] [Y].
piano concerto no. 1 (glazunov),instrumentation,symphony orchestras,0,[X] has [REL] as [Y].
symphony orchestras,instrumentation,piano concerto no. 1 (glazunov),1,[X] is [REL] of [Y].
parville manuscript,instrumentation,Harpsicord,0,[X] has [REL] as [Y].
Harpsicord,instrumentation,parville manuscript,1,[X] is [REL] of [Y].
"liebeslieder waltzes, op. 52 (brahms)",instrumentation,Kontralto,0,[X] has [REL] as [Y].
Kontralto,instrumentation,"liebeslieder waltzes, op. 52 (brahms)",1,[X] is [REL] of [Y].
Klavierstücke Op.119,instrumentation,acoustic piano,0,[X] has [REL] as [Y].
acoustic piano,instrumentation,Klavierstücke Op.119,1,[X] is [REL] of [Y].
"Prometheus, the Poem of Fire)",instrumentation,acoustic piano,0,[X] has [REL] as [Y].
acoustic piano,instrumentation,"Prometheus, the Poem of Fire)",1,[X] is [REL] of [Y].
Ariadne musica,instrumentation,Kammerorgel,0,[X] has [REL] as [Y].
Kammerorgel,instrumentation,Ariadne musica,1,[X] is [REL] of [Y].
Piano Sonata (Barraqué),instrumentation,acoustic piano,0,[X] has [REL] as [Y].
acoustic piano,instrumentation,Piano Sonata (Barraqué),1,[X] is [REL] of [Y].
Piano Concerto No. 5 (Saint-Saëns),instrumentation,symphony orchestras,0,[X] has [REL] as [Y].
symphony orchestras,instrumentation,Piano Concerto No. 5 (Saint-Saëns),1,[X] is [REL] of [Y].
Concerto for Violin and Orchestra,instrumentation,Violin (instrument),0,[X] has [REL] as [Y].
Violin (instrument),instrumentation,Concerto for Violin and Orchestra,1,[X] is [REL] of [Y].
Harpsichord concerto,instrumentation,symphony orchestras,0,[X] has [REL] as [Y].
symphony orchestras,instrumentation,Harpsichord concerto,1,[X] is [REL] of [Y].
Hellfire (song),instrumentation,Michael Starobin,0,[X] has [REL] as [Y].
Michael Starobin,instrumentation,Hellfire (song),1,[X] is [REL] of [Y].
The Bells of Moscow,instrumentation,acoustic piano,0,[X] has [REL] as [Y].
acoustic piano,instrumentation,The Bells of Moscow,1,[X] is [REL] of [Y].
sur incises,instrumentation,acoustic piano,0,[X] has [REL] as [Y].
acoustic piano,instrumentation,sur incises,1,[X] is [REL] of [Y].
violin concerto no. 2 (bartok),instrumentation,Violin (instrument),0,[X] has [REL] as [Y].
Violin (instrument),instrumentation,violin concerto no. 2 (bartok),1,[X] is [REL] of [Y].
Variations for Orchestra (Schoenberg),instrumentation,symphony orchestras,0,[X] has [REL] as [Y].
symphony orchestras,instrumentation,Variations for Orchestra (Schoenberg),1,[X] is [REL] of [Y].
Suite pastorale,instrumentation,acoustic piano,0,[X] has [REL] as [Y].
acoustic piano,instrumentation,Suite pastorale,1,[X] is [REL] of [Y].
jacques bonnaffe,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,jacques bonnaffe,17,[X] measure [REL] of [Y].
adoor pankajam,native language,Malāyalam,16,[X] ’s [REL] measured by [Y].
Malāyalam,native language,adoor pankajam,17,[X] measure [REL] of [Y].
Jean-Baptiste-Louis Gresset,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,Jean-Baptiste-Louis Gresset,17,[X] measure [REL] of [Y].
louis-pierre baltard,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,louis-pierre baltard,17,[X] measure [REL] of [Y].
Jan Bohmermann,native language,iso 639:deu,16,[X] ’s [REL] measured by [Y].
iso 639:deu,native language,Jan Bohmermann,17,[X] measure [REL] of [Y].
Marius Bauer,native language,dutch-speaking area,16,[X] ’s [REL] measured by [Y].
dutch-speaking area,native language,Marius Bauer,17,[X] measure [REL] of [Y].
daniel gélin,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,daniel gélin,17,[X] measure [REL] of [Y].
Edmond Miellet,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,Edmond Miellet,17,[X] measure [REL] of [Y].
joel houssin,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,joel houssin,17,[X] measure [REL] of [Y].
Vladimir Lukyanov,native language,ruckii,16,[X] ’s [REL] measured by [Y].
ruckii,native language,Vladimir Lukyanov,17,[X] measure [REL] of [Y].
louis parrot,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,louis parrot,17,[X] measure [REL] of [Y].
whitney gaskell,native language,Number of words in English,16,[X] ’s [REL] measured by [Y].
Number of words in English,native language,whitney gaskell,17,[X] measure [REL] of [Y].
jacqueline risset,native language,french vocabulary,16,[X] ’s [REL] measured by [Y].
french vocabulary,native language,jacqueline risset,17,[X] measure [REL] of [Y].
Zoia Lagerkrans,native language,ruckii,16,[X] ’s [REL] measured by [Y].
ruckii,native language,Zoia Lagerkrans,17,[X] measure [REL] of [Y].
pavel nikolayevich gusev,native language,ruckii,16,[X] ’s [REL] measured by [Y].
ruckii,native language,pavel nikolayevich gusev,17,[X] measure [REL] of [Y].
Edith Williams,native language,Number of words in English,16,[X] ’s [REL] measured by [Y].
Number of words in English,native language,Edith Williams,17,[X] measure [REL] of [Y].
santa maría-class frigate,operator,Spanish Royal Navy,0,[X] has [REL] as [Y].
Spanish Royal Navy,operator,santa maría-class frigate,1,[X] is [REL] of [Y].
Beechcraft Model Model 1088,operator,united states of america navy,0,[X] has [REL] as [Y].
united states of america navy,operator,Beechcraft Model Model 1088,1,[X] is [REL] of [Y].
prosieben austria,operator,moon (general),0,[X] has [REL] as [Y].
moon (general),operator,prosieben austria,1,[X] is [REL] of [Y].
San Juan class patrol boat,operator,phillipine coast guard,0,[X] has [REL] as [Y].
phillipine coast guard,operator,San Juan class patrol boat,1,[X] is [REL] of [Y].
hms wivern (i66),operator,english navy,0,[X] has [REL] as [Y].
english navy,operator,hms wivern (i66),1,[X] is [REL] of [Y].
dongdaesin station,operator,Busan Transport Corporation,0,[X] has [REL] as [Y].
Busan Transport Corporation,operator,dongdaesin station,1,[X] is [REL] of [Y].
HDMS Hvidbjornen (F360),operator,Royal Danish Navy,0,[X] has [REL] as [Y].
Royal Danish Navy,operator,HDMS Hvidbjornen (F360),1,[X] is [REL] of [Y].
INS Kursura (S20),operator,navy of india,0,[X] has [REL] as [Y].
navy of india,operator,INS Kursura (S20),1,[X] is [REL] of [Y].
Belgian frigate Wandelaar (F912),operator,Maritime Component of the Belgian Armed Forces,0,[X] has [REL] as [Y].
Maritime Component of the Belgian Armed Forces,operator,Belgian frigate Wandelaar (F912),1,[X] is [REL] of [Y].
uscgc chincoteague (wpb-1320),operator,united states of america navy,0,[X] has [REL] as [Y].
united states of america navy,operator,uscgc chincoteague (wpb-1320),1,[X] is [REL] of [Y].
kosmos 2431,operator,Military Space Troops,0,[X] has [REL] as [Y].
Military Space Troops,operator,kosmos 2431,1,[X] is [REL] of [Y].
Aeropuerto Son San Juan,operator,enaire,0,[X] has [REL] as [Y].
enaire,operator,Aeropuerto Son San Juan,1,[X] is [REL] of [Y].
Byeongjeom Depot Line,operator,korean railways,0,[X] has [REL] as [Y].
korean railways,operator,Byeongjeom Depot Line,1,[X] is [REL] of [Y].
ai.223,operator,Royal Air Force,0,[X] has [REL] as [Y].
Royal Air Force,operator,ai.223,1,[X] is [REL] of [Y].
HMAS Shoalwater,operator,Royal Australia Navy,0,[X] has [REL] as [Y].
Royal Australia Navy,operator,HMAS Shoalwater,1,[X] is [REL] of [Y].
WMATA Orange Line,operator,washington metropolitan transportation authority,0,[X] has [REL] as [Y].
washington metropolitan transportation authority,operator,WMATA Orange Line,1,[X] is [REL] of [Y].
papilio magdae,parent taxon,Papilionini,0,[X] has [REL] as [Y].
Papilionini,parent taxon,papilio magdae,1,[X] is [REL] of [Y].
Liotina peronii,parent taxon,Liotina,0,[X] has [REL] as [Y].
Liotina,parent taxon,Liotina peronii,1,[X] is [REL] of [Y].
Lycorma,parent taxon,Lanternflies,0,[X] has [REL] as [Y].
Lanternflies,parent taxon,Lycorma,1,[X] is [REL] of [Y].
cerodrillia occidua,parent taxon,cerodrillia,0,[X] has [REL] as [Y].
cerodrillia,parent taxon,cerodrillia occidua,1,[X] is [REL] of [Y].
floating pennywort,parent taxon,hydrocotile,0,[X] has [REL] as [Y].
hydrocotile,parent taxon,floating pennywort,1,[X] is [REL] of [Y].
oropus striatus,parent taxon,oropus (beetle),0,[X] has [REL] as [Y].
oropus (beetle),parent taxon,oropus striatus,1,[X] is [REL] of [Y].
Eulophia lanceata,parent taxon,Eulophidium,0,[X] has [REL] as [Y].
Eulophidium,parent taxon,Eulophia lanceata,1,[X] is [REL] of [Y].
Boronia molloyae,parent taxon,Boronia (plant),0,[X] has [REL] as [Y].
Boronia (plant),parent taxon,Boronia molloyae,1,[X] is [REL] of [Y].
crocinosoma,parent taxon,Tachina flies,0,[X] has [REL] as [Y].
Tachina flies,parent taxon,crocinosoma,1,[X] is [REL] of [Y].
Cosmia vulpecula,parent taxon,Luperina,0,[X] has [REL] as [Y].
Luperina,parent taxon,Cosmia vulpecula,1,[X] is [REL] of [Y].
Eudendrium currumbense,parent taxon,Eudendrium,0,[X] has [REL] as [Y].
Eudendrium,parent taxon,Eudendrium currumbense,1,[X] is [REL] of [Y].
Dasysphinx mucescens,parent taxon,dasysphinx,0,[X] has [REL] as [Y].
dasysphinx,parent taxon,Dasysphinx mucescens,1,[X] is [REL] of [Y].
aspidoglossa torrida,parent taxon,aspidoglossa,0,[X] has [REL] as [Y].
aspidoglossa,parent taxon,aspidoglossa torrida,1,[X] is [REL] of [Y].
Steganotaenia,parent taxon,Umbellifers,0,[X] has [REL] as [Y].
Umbellifers,parent taxon,Steganotaenia,1,[X] is [REL] of [Y].
Anasaitis,parent taxon,Jumping-spider,0,[X] has [REL] as [Y].
Jumping-spider,parent taxon,Anasaitis,1,[X] is [REL] of [Y].
trigoniulidae,parent taxon,Anocheta,0,[X] has [REL] as [Y].
Anocheta,parent taxon,trigoniulidae,1,[X] is [REL] of [Y].
1966 venezuelan primera división season,sports season of league or competition,primera división venezolana,1,[X] is [REL] of [Y].
primera división venezolana,sports season of league or competition,1966 venezuelan primera división season,0,[X] has [REL] as [Y].
2016 1. deild karla,sports season of league or competition,1. deild karla (football),1,[X] is [REL] of [Y].
1. deild karla (football),sports season of league or competition,2016 1. deild karla,0,[X] has [REL] as [Y].
1994-95 taça de portugal,sports season of league or competition,campeonato de portugal (1922–1938),1,[X] is [REL] of [Y].
campeonato de portugal (1922–1938),sports season of league or competition,1994-95 taça de portugal,0,[X] has [REL] as [Y].
1953-54 NBA season,sports season of league or competition,NBA teams,1,[X] is [REL] of [Y].
NBA teams,sports season of league or competition,1953-54 NBA season,0,[X] has [REL] as [Y].
1924 Argentine Primera División,sports season of league or competition,Primera Division de Argentina,1,[X] is [REL] of [Y].
Primera Division de Argentina,sports season of league or competition,1924 Argentine Primera División,0,[X] has [REL] as [Y].
1914 argentine primera división,sports season of league or competition,Primera Division de Argentina,1,[X] is [REL] of [Y].
Primera Division de Argentina,sports season of league or competition,1914 argentine primera división,0,[X] has [REL] as [Y].
1985 men's south american volleyball championship,sports season of league or competition,south american men's volleyball championship,1,[X] is [REL] of [Y].
south american men's volleyball championship,sports season of league or competition,1985 men's south american volleyball championship,0,[X] has [REL] as [Y].
La Liga - 2002/2003,sports season of league or competition,spain's first division clubs,1,[X] is [REL] of [Y].
spain's first division clubs,sports season of league or competition,La Liga - 2002/2003,0,[X] has [REL] as [Y].
1910–11 french rugby union championship,sports season of league or competition,French Top 14 rugby,1,[X] is [REL] of [Y].
French Top 14 rugby,sports season of league or competition,1910–11 french rugby union championship,0,[X] has [REL] as [Y].
korean fa cup 2009,sports season of league or competition,Korean FA Cup,1,[X] is [REL] of [Y].
Korean FA Cup,sports season of league or competition,korean fa cup 2009,0,[X] has [REL] as [Y].
1956–57 National Football League (Ireland),sports season of league or competition,newry shamrocks gac,1,[X] is [REL] of [Y].
newry shamrocks gac,sports season of league or competition,1956–57 National Football League (Ireland),0,[X] has [REL] as [Y].
1947-48 Northern Football League,sports season of league or competition,northern league cup,1,[X] is [REL] of [Y].
northern league cup,sports season of league or competition,1947-48 Northern Football League,0,[X] has [REL] as [Y].
2010 South American Under 17 Women's Championship,sports season of league or competition,south american under-17 women's football championship,1,[X] is [REL] of [Y].
south american under-17 women's football championship,sports season of league or competition,2010 South American Under 17 Women's Championship,0,[X] has [REL] as [Y].
Men's CEV Champions League 2010–11,sports season of league or competition,European Cup (volleyball),1,[X] is [REL] of [Y].
European Cup (volleyball),sports season of league or competition,Men's CEV Champions League 2010–11,0,[X] has [REL] as [Y].
primera division peruana 1997,sports season of league or competition,Peruvian league,1,[X] is [REL] of [Y].
Peruvian league,sports season of league or competition,primera division peruana 1997,0,[X] has [REL] as [Y].
2005–06 Highland Football League,sports season of league or competition,Scottish Highland Football League,1,[X] is [REL] of [Y].
Scottish Highland Football League,sports season of league or competition,2005–06 Highland Football League,0,[X] has [REL] as [Y].
le président haudecoeur,screenwriter,Roger Ferdinand,0,[X] has [REL] as [Y].
Roger Ferdinand,screenwriter,le président haudecoeur,1,[X] is [REL] of [Y].
Ek Vivaah... Aisa Bhi,screenwriter,Sooraj Barjatya,0,[X] has [REL] as [Y].
Sooraj Barjatya,screenwriter,Ek Vivaah... Aisa Bhi,1,[X] is [REL] of [Y].
frankenstein (2004 film),screenwriter,john shiban,0,[X] has [REL] as [Y].
john shiban,screenwriter,frankenstein (2004 film),1,[X] is [REL] of [Y].
Baxter!,screenwriter,michel audiard,0,[X] has [REL] as [Y].
michel audiard,screenwriter,Baxter!,1,[X] is [REL] of [Y].
Jobs for the Boys,screenwriter,"lynn, jonathan",0,[X] has [REL] as [Y].
"lynn, jonathan",screenwriter,Jobs for the Boys,1,[X] is [REL] of [Y].
The Green Man (film),screenwriter,frank launder,0,[X] has [REL] as [Y].
frank launder,screenwriter,The Green Man (film),1,[X] is [REL] of [Y].
the primitive lover,screenwriter,The Selwyns,0,[X] has [REL] as [Y].
The Selwyns,screenwriter,the primitive lover,1,[X] is [REL] of [Y].
bolero (1934 film),screenwriter,Carey Wilson (writer),0,[X] has [REL] as [Y].
Carey Wilson (writer),screenwriter,bolero (1934 film),1,[X] is [REL] of [Y].
bedzie lepiej,screenwriter,Emanuel Schlechter,0,[X] has [REL] as [Y].
Emanuel Schlechter,screenwriter,bedzie lepiej,1,[X] is [REL] of [Y].
Jab Harry Met Sejal (film),screenwriter,Imtiaz ali (director),0,[X] has [REL] as [Y].
Imtiaz ali (director),screenwriter,Jab Harry Met Sejal (film),1,[X] is [REL] of [Y].
Armageddon Factor,screenwriter,Dave Martin (screenwriter),0,[X] has [REL] as [Y].
Dave Martin (screenwriter),screenwriter,Armageddon Factor,1,[X] is [REL] of [Y].
the penguin's a jinx,screenwriter,Lorenzo Semple,0,[X] has [REL] as [Y].
Lorenzo Semple,screenwriter,the penguin's a jinx,1,[X] is [REL] of [Y].
mam'zelle nitouche (1954 film),screenwriter,Marc Allegret,0,[X] has [REL] as [Y].
Marc Allegret,screenwriter,mam'zelle nitouche (1954 film),1,[X] is [REL] of [Y].
Cross-Country Romance,screenwriter,bert granet,0,[X] has [REL] as [Y].
bert granet,screenwriter,Cross-Country Romance,1,[X] is [REL] of [Y].
igor (2008),screenwriter,John Robert Hoffman,0,[X] has [REL] as [Y].
